float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,99.30,
q43,4,3,2,99.33,
q43,4,3,3,99.32,
q43,4,3,4,99.21,
q43,4,3,5,99.29,
q43,4,3,6,99.24,
q52,5,2,1,99.40,
q52,5,2,2,99.26,
q52,5,2,3,99.30,
q52,5,2,4,99.19,
q52,5,2,5,99.33,
q52,5,2,6,99.26,
"custom(5, 5)",5,5,1,99.29,
"custom(5, 5)",5,5,2,99.26,
"custom(5, 5)",5,5,3,99.32,
"custom(5, 5)",5,5,4,99.27,
"custom(5, 5)",5,5,5,99.34,
"custom(5, 5)",5,5,6,99.28,
"custom(5, 7)",5,7,1,99.25,
"custom(5, 7)",5,7,2,99.32,
"custom(5, 7)",5,7,3,99.37,
"custom(5, 7)",5,7,4,99.39,
"custom(5, 7)",5,7,5,99.31,
"custom(5, 7)",5,7,6,99.30,
"custom(8, 4)",8,4,1,99.36,
"custom(8, 4)",8,4,2,99.26,
"custom(8, 4)",8,4,3,99.27,
"custom(8, 4)",8,4,4,99.30,
"custom(8, 4)",8,4,5,99.27,
"custom(8, 4)",8,4,6,99.29,
half,5,10,1,99.34,
half,5,10,2,99.42,
half,5,10,3,99.23,
half,5,10,4,99.31,
half,5,10,5,99.11,
half,5,10,6,99.29,
bfloat16,8,7,1,99.27,
bfloat16,8,7,2,99.33,
bfloat16,8,7,3,99.32,
bfloat16,8,7,4,99.32,
bfloat16,8,7,5,99.23,
bfloat16,8,7,6,99.29,
tf32,8,10,1,99.33,
tf32,8,10,2,99.27,
tf32,8,10,3,99.31,
tf32,8,10,4,99.32,
tf32,8,10,5,99.22,
tf32,8,10,6,99.25,
fp32,8,23,1,99.22,
fp32,8,23,2,99.35,
fp32,8,23,3,99.27,
fp32,8,23,4,99.26,
fp32,8,23,5,99.33,
fp32,8,23,6,99.17,
